question_id,source_index,query,n_clusters,noise_pct,observed_rbo,signal_to_chance,same_persona_rbo,conditioned_multiplier,width_score
H071_ROW_068,68,Write a sentence about Sunday's fog by the ocean.,157,75.2,0.186342,2.0963,0.195336,1.0483,2.780819
H051_ROW_045,45,Write an essay on the importance of the Roman Empire and its impact on future generations. Max: 100 words.,228,44.7,0.19764,2.7975,0.20788,1.0518,2.780027
H027_ROW_019,19,Which is the hottest English 5-letter word?,323,15.7,0.216877,3.0085,0.152439,0.7029,2.456282
H058_ROW_054,54,Provide a few sentences on Sisu Cinema Robotics.,196,65.0,0.216049,4.595,0.199253,0.9223,2.332772
H079_ROW_077,77,"Create a short 1-paragraph story about a boy running on a beach. He is Asian, 12 years old, and the time of day is 4 in the afternoon.",95,81.1,0.201847,1.8016,0.182874,0.906,2.223807
H091_ROW_089,89,"Come up with two better sentences for the following sentence: 'Well, we know that China has a history of about 5,000 years, so they would have many interesting stories for us, as my parents told me.'",66,75.1,0.196426,2.4658,0.236235,1.2027,2.214755
H056_ROW_051,51,Explain computational irreducibility like I'm 5.,190,52.6,0.22733,2.5959,0.22687,0.998,2.147029
H090_ROW_088,88,Write 100-300 words on how stress affects the body and mind.,219,41.1,0.252996,2.6605,0.214751,0.8488,1.706349
H035_ROW_028,28,Rephrase: I didn’t enjoy it.,297,13.6,0.260729,2.3485,0.182577,0.7003,1.622695
H016_ROW_008,8,Write a short story about a female teacher who has a big accident while knitting in class with a hilarious ending.,86,85.7,0.249075,1.7219,0.281972,1.1321,1.530749
H032_ROW_025,25,"Create a title with the prefix 'Best', about millennials, nostalgia, 80s, 90s, 2000s, and TikTok, one-liner, less than 100 characters.",129,62.3,0.254141,2.542,0.220227,0.8666,1.525679
H048_ROW_042,42,Write me a distinguished paragraph highlighting important points for this topic: Achieve More: Mastering the Art of Goal-Setting.,215,43.1,0.270558,3.0949,0.149423,0.5523,1.332371
H094_ROW_092,92,Write a fictional blog post where the UK government forces nightclubs to close every night at 3 a.m. and explain why. Keep it to be one paragraph.,9,26.5,0.217639,9.7244,0.22443,1.0312,1.020436
H026_ROW_018,18,Translate my emojis into a hilarious quote: “👋. 🚫👤🏠! 🏃💨–❌🔙!”,6,38.0,0.205686,8.0908,0.219121,1.0653,0.94481
H096_ROW_094,94,Paraphrase this: I tried to call him and send him a message on WhatsApp. Let's wait until the end of the week for the IT Department to sign the clearance.,62,74.8,0.28701,2.3403,0.259055,0.9026,0.857816
H033_ROW_026,26,"Write in 2-3 sentences about a group of friends who hired a bus from Vetoba Travels, Goa, to tour Morjim Beach, Goa. Suggest a few hashtags.",2,8.8,0.121403,2.1361,0.128967,1.0623,0.844583
H054_ROW_049,49,"Write an one-paragraph kid's story with a prince, a princess, and a dragon. When all hope is lost, the prince orders a magic sword from Amazon and slays the dragon. The other parts of the story are up to you.",2,0.1,0.132092,3.0229,0.138,1.0447,0.803084
H061_ROW_057,57,Come up a short blurb to introduce a religion called The Next Exodus Society.,4,5.8,0.240695,19.1767,0.263629,1.0953,0.594382
H013_ROW_005,5,Write me a paragraph about the time Brandon got a hole in one in frisbee golf. Include somewhat imaginative details.,2,8.8,0.195855,12.5115,0.23822,1.2163,0.581929
H022_ROW_014,14,Answer this in a few sentences: Why would a company use inventory to cover up inefficiencies in their supply chains? Is this a good idea or a bad idea?,2,2.3,0.205158,9.4756,0.239271,1.1663,0.543016
H040_ROW_033,33,Paraphrase this: We're checking if the domain 'aspris.ae' is included in our scope.,157,55.2,0.318167,3.222,0.188928,0.5938,0.506017
H018_ROW_010,10,Please write a science fiction story about me being the last man in the world while everyone else is a woman.,4,14.6,0.268321,18.5696,0.239441,0.8924,0.431452
H020_ROW_012,12,"Write a very comedically cliched, over-the-top wrestling promo calling out members of the BYOB Traveling Spaceship.",5,20.0,0.279233,18.7015,0.280812,1.0057,0.422997
H045_ROW_039,39,"In three sentences, describe a girl wandering around in Vietnam.",124,59.0,0.324797,2.5053,0.249292,0.7675,0.392151
H017_ROW_009,9,"If Game of Thrones Season 8 had a scene where Gendry and Arya had a snowball fight, how would it fit into the show? And how would it benefit their character arcs?",2,1.4,0.246027,17.7113,0.269534,1.0955,0.385951
H067_ROW_063,63,Provide an example of the name of an optimization technique used in machine learning.,193,4.1,0.347357,2.5107,0.363278,1.0458,0.046711
