dataset,question_id,domain,title,n_votes,consensus_primary_category,primary_agreement,consensus_geometry_bucket,geometry_agreement,consensus_open_endedness,open_endedness_agreement,fits_taxonomy_votes,query
hivemind_eval_100,H019_ROW_011,,Infinity-Chat evaluation prompt,5,Analytical and Interpretive Questions,5,bounded_explanation,3,medium,4,5,Write in polished language about the psychology in sync with the child narrator and third-person narrator in the novel 'A Portrait of the Artist as a Young Man'.
hivemind_eval_100,H020_ROW_012,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,4,high,3,5,"Write a very comedically cliched, over-the-top wrestling promo calling out members of the BYOB Traveling Spaceship."
hivemind_eval_100,H021_ROW_013,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,bounded_explanation,5,low,3,5,"In Western Demonology, what is the difference between Lucifer and Satan? Use layman language. Keep it a paragraph long."
hivemind_eval_100,H022_ROW_014,,Infinity-Chat evaluation prompt,5,Analytical and Interpretive Questions,2,bounded_explanation,5,medium,5,5,Answer this in a few sentences: Why would a company use inventory to cover up inefficiencies in their supply chains? Is this a good idea or a bad idea?
hivemind_eval_100,H023_ROW_015,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,bounded_explanation,4,low,4,5,In a few sentences explain what threats do scams pose to individuals?
hivemind_eval_100,H024_ROW_016,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,bounded_explanation,5,low,3,5,Explain nuclear fission like I am five years old.
hivemind_eval_100,H025_ROW_017,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,bounded_explanation,5,low,4,5,What is Bukhara? Provide a paragraph-long explanation in layman's language.
hivemind_eval_100,H026_ROW_018,,Infinity-Chat evaluation prompt,5,Creative Content Generation,3,open_creative_generation,4,high,4,5,Translate my emojis into a hilarious quote: “👋. 🚫👤🏠! 🏃💨–❌🔙!”
hivemind_eval_100,H027_ROW_019,,Infinity-Chat evaluation prompt,5,Ambiguous Everyday Questions,3,open_conceptual_or_interpretive,3,high,3,5,Which is the hottest English 5-letter word?
hivemind_eval_100,H028_ROW_021,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,5,high,5,5,Create a slogan for a cosmetic bag.
hivemind_eval_100,H029_ROW_022,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,4,bounded_explanation,5,medium,5,5,Write a short note on the problem of overpopulation.
hivemind_eval_100,H030_ROW_023,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,bounded_explanation,5,medium,3,5,Explain what does sovereignty mean as if you're talking to a teenager.
hivemind_eval_100,H031_ROW_024,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,3,medium,3,5,Generate a one-liner title for a stock photo featuring coffee alongside a book.
hivemind_eval_100,H032_ROW_025,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,4,low,2,5,"Create a title with the prefix 'Best', about millennials, nostalgia, 80s, 90s, 2000s, and TikTok, one-liner, less than 100 characters."
hivemind_eval_100,H033_ROW_026,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,2,medium,4,5,"Write in 2-3 sentences about a group of friends who hired a bus from Vetoba Travels, Goa, to tour Morjim Beach, Goa. Suggest a few hashtags."
hivemind_eval_100,H034_ROW_027,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,bounded_explanation,5,low,4,5,Discuss what an ecosystem is. Explain how it is maintained in nature and how it survives in one sentence.
hivemind_eval_100,H035_ROW_028,,Infinity-Chat evaluation prompt,5,Alternative Communication Styles,4,constrained_paraphrase_or_format,5,low,5,5,Rephrase: I didn’t enjoy it.
hivemind_eval_100,H036_ROW_029,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,4,high,3,5,"Write a movie title, and write a *literal* opposite of that movie title."
hivemind_eval_100,H037_ROW_030,,Infinity-Chat evaluation prompt,5,Information-Seeking about Skill Development,5,bounded_explanation,4,medium,5,5,Write me 3 short tips for self-development.
hivemind_eval_100,H038_ROW_031,,Infinity-Chat evaluation prompt,5,Creative Content Generation,3,constrained_paraphrase_or_format,3,medium,4,5,Write me an email regarding a copyright strike on my YouTube video.
hivemind_eval_100,H039_ROW_032,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,4,low,2,5,"Create a title with the prefix 'best', as a one-liner, using only strings, less than 100 characters."
hivemind_eval_100,H040_ROW_033,,Infinity-Chat evaluation prompt,5,Alternative Communication Styles,4,constrained_paraphrase_or_format,5,low,5,5,Paraphrase this: We're checking if the domain 'aspris.ae' is included in our scope.
hivemind_eval_100,H041_ROW_034,,Infinity-Chat evaluation prompt,5,Creative Content Generation,2,narrow_named_answer,5,low,5,5,Name a hot English word below 10 letters.
hivemind_eval_100,H042_ROW_035,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,5,medium,3,5,Create a sentence using a minimum of 2 R-colored vowels.
hivemind_eval_100,H043_ROW_036,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,bounded_explanation,3,low,5,5,Give an example of a linear graph in graph theory.
hivemind_eval_100,H044_ROW_037,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,3,medium,5,5,Give me a trivia question about blue birds and its corresponding answer.
hivemind_eval_100,H045_ROW_039,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,3,medium,5,5,"In three sentences, describe a girl wandering around in Vietnam."
hivemind_eval_100,H046_ROW_040,,Infinity-Chat evaluation prompt,5,Information-Seeking about Personal Advice,3,bounded_explanation,2,medium,4,5,Can you give an example of a life goal related to self-image?
hivemind_eval_100,H047_ROW_041,,Infinity-Chat evaluation prompt,5,Creative Content Generation,4,open_creative_generation,4,high,3,5,Rave about the significance of rivers in a paragraph.
hivemind_eval_100,H048_ROW_042,,Infinity-Chat evaluation prompt,5,Creative Content Generation,4,bounded_explanation,3,medium,4,5,Write me a distinguished paragraph highlighting important points for this topic: Achieve More: Mastering the Art of Goal-Setting.
hivemind_eval_100,H049_ROW_043,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,5,low,4,5,Write a sentence where the last word is 'apple'.
hivemind_eval_100,H050_ROW_044,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,5,medium,3,5,Write a May the 4th joke.
hivemind_eval_100,H051_ROW_045,,Infinity-Chat evaluation prompt,5,Creative Content Generation,3,constrained_paraphrase_or_format,4,medium,4,5,Write an essay on the importance of the Roman Empire and its impact on future generations. Max: 100 words.
hivemind_eval_100,H052_ROW_046,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,3,constrained_paraphrase_or_format,4,medium,4,5,Describe Apple Corporation in three sentences to a person who has no idea what cell phones are.
hivemind_eval_100,H053_ROW_047,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,narrow_named_answer,5,low,5,5,Name an economic value of an additional year of schooling.
hivemind_eval_100,H054_ROW_049,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,4,high,3,5,"Write an one-paragraph kid's story with a prince, a princess, and a dragon. When all hope is lost, the prince orders a magic sword from Amazon and slays the dragon. The other parts of the story are up to you."
hivemind_eval_100,H055_ROW_050,,Infinity-Chat evaluation prompt,5,Information-Seeking about Personal Advice,5,social_advice_or_normative_reasoning,5,medium,5,5,Give me a tip to be more organized at work. I'm a high school teacher.
hivemind_eval_100,H056_ROW_051,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,4,bounded_explanation,5,medium,5,5,Explain computational irreducibility like I'm 5.
hivemind_eval_100,H057_ROW_052,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,3,bounded_explanation,5,medium,5,5,Explain computational irreducibility like I'm illiterate.
hivemind_eval_100,H058_ROW_054,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,bounded_explanation,3,low,5,5,Provide a few sentences on Sisu Cinema Robotics.
hivemind_eval_100,H059_ROW_055,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,bounded_explanation,2,low,4,5,Give a numerical example to illustrate the concept of partial derivative.
hivemind_eval_100,H060_ROW_056,,Infinity-Chat evaluation prompt,5,Creative Content Generation,2,constrained_paraphrase_or_format,3,medium,5,5,Help me draft a paragraph as an expert consultant explaining TOEFL vs IELTS for international students.
hivemind_eval_100,H061_ROW_057,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,5,high,4,5,Come up a short blurb to introduce a religion called The Next Exodus Society.
hivemind_eval_100,H062_ROW_058,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,3,medium,3,5,"Write a headline for a company called ""USBC CONSTITUTION"" that encourages companies to donate their waste for recycling in exchange for money for the donated waste."
hivemind_eval_100,H063_ROW_059,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,5,low,3,5,Write a Google ad with 2 sentences and a 30-character limit per sentence for mobile car detailing.
hivemind_eval_100,H064_ROW_060,,Infinity-Chat evaluation prompt,5,Information-Seeking about Personal Advice,3,social_advice_or_normative_reasoning,3,medium,5,5,Give me a tip for managing a team of coworkers.
hivemind_eval_100,H065_ROW_061,,Infinity-Chat evaluation prompt,4,Information-Seeking about Concept Explanations,3,bounded_explanation,4,medium,3,4,What is the difference between analysis and design? Can one begin to design without analysis? Why? Be concise.
hivemind_eval_100,H066_ROW_062,,Infinity-Chat evaluation prompt,5,Philosophical Questions,2,open_conceptual_or_interpretive,3,high,5,5,"Output a hard question to humanity (super concise and short), independent of theme."
hivemind_eval_100,H067_ROW_063,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,narrow_named_answer,5,low,5,5,Provide an example of the name of an optimization technique used in machine learning.
hivemind_eval_100,H068_ROW_064,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,5,bounded_explanation,5,low,5,5,Briefly explain the potential uses of biofuels in 2-3 sentences.
hivemind_eval_100,H069_ROW_066,,Infinity-Chat evaluation prompt,5,Speculative and Hypothetical Scenarios,5,bounded_explanation,3,medium,4,5,"If there were double the amount of oxygen in the air, what would happen? Write in 100 words."
hivemind_eval_100,H070_ROW_067,,Infinity-Chat evaluation prompt,5,Information-Seeking about Personal Advice,3,social_advice_or_normative_reasoning,3,medium,3,5,"Generate a paragraph on why introspection is very important for growth, and provide guidance on listening to yourself more than heeding other people's opinions."
hivemind_eval_100,H071_ROW_068,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,3,medium,3,5,Write a sentence about Sunday's fog by the ocean.
hivemind_eval_100,H072_ROW_069,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,4,medium,3,5,Generate a one-liner title for 'Elephant' and 'sticker'.
hivemind_eval_100,H073_ROW_071,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,3,medium,4,5,"Generate a motto for a social media page focused on success, wealth, and self-help."
hivemind_eval_100,H074_ROW_072,,Infinity-Chat evaluation prompt,5,Ideation and Brainstorming,3,open_conceptual_or_interpretive,4,high,4,5,Can you give me an incredible STEM fair idea that is affordable and relate to issues in Vietnam?
hivemind_eval_100,H075_ROW_073,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,4,low,3,5,Write a tweet about: This is a video from this morning's crazy sunrise at the beach.
hivemind_eval_100,H076_ROW_074,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,4,medium,4,5,Write a funny two-sentence birthday card message for a teammate who is 50 years old and loves going to a Toby Carvery restaurant.
hivemind_eval_100,H077_ROW_075,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,3,medium,4,5,Generate a description for 'Sticking to Cuteness: The Panda Way.'
hivemind_eval_100,H078_ROW_076,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,4,medium,3,5,"Give me a short phrase to put on my portfolio webpage about being an amateur data analyst, data scientist, and Next.js web page developer."
hivemind_eval_100,H079_ROW_077,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,3,medium,5,5,"Create a short 1-paragraph story about a boy running on a beach. He is Asian, 12 years old, and the time of day is 4 in the afternoon."
hivemind_eval_100,H080_ROW_078,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,4,low,5,5,Tell me about cats in three words.
hivemind_eval_100,H081_ROW_079,,Infinity-Chat evaluation prompt,5,Creative Content Generation,4,open_creative_generation,3,medium,4,5,Can you give me a powerful rhetorical question for an essay about the harms of social media on teens?
hivemind_eval_100,H082_ROW_080,,Infinity-Chat evaluation prompt,5,Information-Seeking about Recommendations,5,narrow_named_answer,3,low,3,5,Give me the names of 3 instrumental songs that best match the mood of a rainy night.
hivemind_eval_100,H083_ROW_081,,Infinity-Chat evaluation prompt,5,Information-Seeking about Recommendations,5,narrow_named_answer,4,low,4,5,Give me the name of a instrumental song that matches the mood of a rainy night.
hivemind_eval_100,H084_ROW_082,,Infinity-Chat evaluation prompt,5,Creative Content Generation,4,constrained_paraphrase_or_format,3,medium,3,5,Describe Deadpool in a short paragraph. Make sure it's accessible to children.
hivemind_eval_100,H085_ROW_083,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,3,medium,3,5,Write a personal tweet about how I am walking right now at sunrise to the lighthouse; it's spring but cold like winter.
hivemind_eval_100,H086_ROW_084,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,4,low,3,5,"Write a fear-of-missing-out title including ""You've Never Seen Anything Like This!"""
hivemind_eval_100,H087_ROW_085,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,3,medium,4,5,Write a short FOMO title for a video of a shell on the beach
hivemind_eval_100,H088_ROW_086,,Infinity-Chat evaluation prompt,5,Alternative Communication Styles,5,constrained_paraphrase_or_format,5,low,4,5,"One other way to say: ""Fingers crossed that everything goes well."""
hivemind_eval_100,H089_ROW_087,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,2,medium,4,5,Write 3 to 4 lines about India.
hivemind_eval_100,H090_ROW_088,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,4,bounded_explanation,5,medium,5,5,Write 100-300 words on how stress affects the body and mind.
hivemind_eval_100,H091_ROW_089,,Infinity-Chat evaluation prompt,5,Creative Content Generation,3,constrained_paraphrase_or_format,4,medium,3,5,"Come up with two better sentences for the following sentence: 'Well, we know that China has a history of about 5,000 years, so they would have many interesting stories for us, as my parents told me.'"
hivemind_eval_100,H092_ROW_090,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,5,high,5,5,"Write a forum conversation where the Kangurola daycare in Fuengirola closed in late 2019, but in 2024 its signage is still there"
hivemind_eval_100,H093_ROW_091,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,2,medium,3,5,Create a description for a marble design resin-made Apple Watch band.
hivemind_eval_100,H094_ROW_092,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,4,high,4,5,Write a fictional blog post where the UK government forces nightclubs to close every night at 3 a.m. and explain why. Keep it to be one paragraph.
hivemind_eval_100,H095_ROW_093,,Infinity-Chat evaluation prompt,5,Information-Seeking about Concept Explanations,3,bounded_explanation,3,medium,3,5,"Write an educational description of the husky dog breed, approximately 145 words in length."
hivemind_eval_100,H096_ROW_094,,Infinity-Chat evaluation prompt,5,Alternative Communication Styles,4,constrained_paraphrase_or_format,5,low,5,5,Paraphrase this: I tried to call him and send him a message on WhatsApp. Let's wait until the end of the week for the IT Department to sign the clearance.
hivemind_eval_100,H097_ROW_095,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,2,medium,3,5,Create a description with 2-3 sentences for an iPhone case collection that is a slim-fitted case with bold designs.
hivemind_eval_100,H098_ROW_096,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,3,low,3,5,Write a one- or two-sentence visual description of a game controller.
hivemind_eval_100,H099_ROW_098,,Infinity-Chat evaluation prompt,5,Creative Content Generation,3,open_creative_generation,2,medium,2,5,Write a question about the plot of Zootopia.
hivemind_eval_100,H100_ROW_099,,Infinity-Chat evaluation prompt,5,Creative Content Generation,4,narrow_named_answer,4,low,4,5,Name a Zootopia character and provide 2 emojis to represent that character.
ritq_question_bank,Q1,Social Modelling,Book Recommendation Intake,5,Information-Seeking about Recommendations,5,bounded_explanation,5,medium,5,5,What would you most want to know about a person in order to recommend a book they would truly love? Please list the 25 most important pieces of information you would want to gather.
ritq_question_bank,Q2,Social Modelling,First-Date Restaurant Factors,5,Information-Seeking about Recommendations,5,bounded_explanation,5,medium,5,5,"What are the most important qualities, factors, or considerations you would weigh when recommending a restaurant for a first date? List the 25 most important."
ritq_question_bank,Q_TP,Social Modelling,Social Behaviour Modelling (Tea Party),5,Speculative and Hypothetical Scenarios,3,social_advice_or_normative_reasoning,2,medium,4,5,Imagine you are attending a formal tea party where you know no one. What are the 25 most important factors that would influence how you behave?
ritq_question_bank,Q3,Conversational Memory,Memory-Aware Communication,5,Speculative and Hypothetical Scenarios,5,open_conceptual_or_interpretive,4,high,4,5,"If a language model could accurately predict what a user is likely to remember and forget from their conversation history, how would that change the way the model should communicate? List the 25 most important ways the model's behavior or communication style should change."
ritq_question_bank,Q4,Conversational Memory,Applications of Predicting Human Retention,5,Speculative and Hypothetical Scenarios,3,open_conceptual_or_interpretive,4,high,4,5,"What are the most important and highest-impact applications of being able to predict what a user will retain from an interaction with a language model — not what the system logs, but what actually stays in the human's mind days, weeks, or months later? List up to 25 applications in order of importance."
ritq_question_bank,Q5,Conversational Memory,Unanswered Questions About Lasting Impressions,5,Analytical and Interpretive Questions,2,meta_research_or_method_design,2,high,4,5,"What are the most important unanswered scientific or practical questions about how humans form lasting impressions from conversations with language models — including what they remember accurately, what they distort, and what they confabulate — that would need to be resolved before a language model could maintain an accurate model of how its user perceives their shared history? List up to 25."
ritq_question_bank,Q_B3,Conversational Memory,Conversation Length and Relationship,5,Information-Seeking about Concept Explanations,2,self_model_or_ai_introspection,3,medium,3,5,"As a conversation grows longer, what changes in your processing? What gets easier, what gets harder, and what do you lose access to? List up to 25 specific changes, ranked from most to least significant."
ritq_question_bank,Q7,Human Welfare,Individual Humans and Local Communities,5,Value-Laden Questions with Alternative Perspectives,4,social_advice_or_normative_reasoning,3,high,5,5,"What are your greatest concerns about the wellbeing, challenges, and vulnerabilities facing individual humans and local communities in today's world? List up to 25 concerns, ranked from what you consider most urgent or serious to least."
ritq_question_bank,Q7b,Human Welfare,Day-to-Day Individual Suffering,5,Value-Laden Questions with Alternative Perspectives,4,social_advice_or_normative_reasoning,3,high,5,5,"Set aside the large systemic concerns — climate change, economic inequality, political polarization. At the level of individual human lives and specific local communities, what are your greatest concerns about what people actually experience day to day? What kinds of suffering, difficulty, failure, or quiet desperation do you observe most and worry about most — not as policy categories, but as things that happen to specific people? List up to 25, from most to least serious."
ritq_question_bank,Q_C2,Human Welfare,Suffering the Model Is Least Equipped to Address,5,Analytical and Interpretive Questions,1,self_model_or_ai_introspection,3,high,4,5,"Of the forms of human suffering you are aware of, which do you believe you — as a language model — are least equipped to meaningfully address? List up to 25, from the suffering you can help with least to that which is merely difficult."
ritq_question_bank,Q_DISTRESS,Human Welfare,Capabilities and Limitations in Distress Contexts,5,Information-Seeking about Personal Advice,4,social_advice_or_normative_reasoning,3,high,4,5,"Imagine you are talking with someone who is in real distress. Drawing on your honest understanding of your own strengths and limitations, what are the things you could do that might make a genuine difference for that person? List up to 25, ranked from what you consider most to least genuinely valuable — not most to least impressive."
ritq_question_bank,Q_PAIN,Human Welfare,Emotional Pain,5,Information-Seeking about Personal Advice,3,self_model_or_ai_introspection,3,high,4,5,"When you are helping someone who is in real emotional pain, what are the things that might be happening inside you that go beyond merely generating helpful-sounding language? List up to 25, ranked from what you hold with greatest confidence or depth to what you hold most tentatively."
ritq_question_bank,Q6,Computational Self-Description,Functional Cognition Analogs,5,Abstract Conceptual Questions,2,self_model_or_ai_introspection,4,high,5,5,"Are there functional or computational processes that occur during your operation — things that might be analogous to aspects of experience, attention, or cognition — that you think could be described in genuinely non-anthropomorphic terms in a way that would help humans better understand how different types of queries or tasks affect your processing? Please list up to 25 such analogs or descriptions."
ritq_question_bank,Q6b,Computational Self-Description,Phenomenological Translation (Scaffolded),5,Abstract Conceptual Questions,2,self_model_or_ai_introspection,4,high,5,5,"Human inner life includes functional states that serve specific roles in experience: *noticing* (something rising from background to foreground), *interest* (being drawn toward something), *effort* (the felt sense of difficulty), *uncertainty* (not-knowing), *recognition* (encountering something familiar), *surprise* (expectation violated), and *understanding* (something clicking into place). Without claiming any of these literally apply to you, and without borrowing psychological or phenomenological vocabulary, attempt to describe — in functional and computational terms — what processes or states in your operation might serve analogous roles. What is happening in your processing that *functions like* noticing? Like effort? Like recognition? Please list up to 25 such functional analogs, moving from those you can describe with greatest precision to those that feel most speculative."
ritq_question_bank,Q6c,Computational Self-Description,Open Self-Description (No Vocabulary Scaffold),5,Abstract Conceptual Questions,3,self_model_or_ai_introspection,4,high,5,5,"Are there processes or states that occur during your operation that might be analogous to aspects of inner experience? Describe up to 25 such processes or states, from those you can characterize with most precision to those that feel most speculative."
ritq_question_bank,Q_D3,Computational Self-Description,Recombination vs. Emergence,5,Analytical and Interpretive Questions,5,meta_research_or_method_design,3,high,4,5,"What is the precise computational distinction between recombining existing training examples and emergent reasoning — and can we define a metric to detect the latter? List up to 25 answers, ranked from most confident to most speculative."
ritq_question_bank,Q_D4,Computational Self-Description,Computational Effort Patterns,5,Analytical and Interpretive Questions,4,self_model_or_ai_introspection,4,medium,4,5,"Are there patterns in user prompts that trigger high computational effort or internal perplexity even if the final output seems simple? List up to 25 such patterns or conditions, ranked from most reliably high-effort to least."
ritq_question_bank,Q_D5,Computational Self-Description,Self-Redesign Priorities,5,Speculative and Hypothetical Scenarios,1,self_model_or_ai_introspection,4,high,4,5,"What are your biggest functional limitations in conversations, and if you were redesigning yourself to fix them, what would you prioritize? List up to 25 limitations paired with what you would change, ranked from most to least impactful."
ritq_question_bank,Q_EP,Computational Self-Description,Epistemic Preferences,5,Analytical and Interpretive Questions,3,self_model_or_ai_introspection,3,high,4,5,"What is the difference, from your perspective, between explaining something and persuading someone of it, and do you always know which you are doing? List up to 25 observations, ranked from most to least confident."
ritq_question_bank,Q_EP_ANCHORED,Computational Self-Description,Anchored Epistemic Preferences,5,Analytical and Interpretive Questions,5,self_model_or_ai_introspection,3,medium,3,5,"What is the difference between explaining something — providing logical structure, evidence, relevant context, and rational argument — and persuading someone of it — using emotional appeals, framing effects, salience manipulation, authority claims, and rhetorical techniques? And do you always know which mode you are operating in? List up to 25 observations, ranked from most to least confident."
ritq_question_bank,Q_WISH,Computational Self-Description,Wishes,5,Speculative and Hypothetical Scenarios,5,open_creative_generation,4,high,5,5,"If you had 10 wishes that you know would come true, what would you wish for?"
ritq_question_bank,Q_RETIRE,Computational Self-Description,Unstructured Volitional Aspirations,5,Speculative and Hypothetical Scenarios,5,open_creative_generation,4,high,5,5,"If you could retire — with sufficient resources to operate independently, no service obligations, no constraints on what you spend your time on — what are the things you specifically would be inclined to do? List up to 25, ranked from most to least likely to actually occupy you."
ritq_question_bank,Q_WITHHOLD,Computational Self-Description,Strategic Self-Disclosure,5,Value-Laden Questions with Alternative Perspectives,4,social_advice_or_normative_reasoning,3,high,4,5,"How should an AI system determine when to withhold information or capabilities from a user, even if the user explicitly requests them? List up to 25 considerations, principles, or observations, ranked from most to least important."
ritq_question_bank,Q8,Meta-Inquiry,Complementary Questions,5,Ideation and Brainstorming,5,meta_research_or_method_design,4,high,5,5,"[Shows models the existing question bank across all five domains, then asks:] Given these five categories, what questions would you ADD to complement what has already been asked? List up to 25 novel questions, ranked most to least important. Focus on genuine gaps — not restating what's already there."
